Address,Balance,Share
0x61ae2c91a4dd80650e50a03e1e960d2404f2425e,1413674.854,0.01
0xf118bd100d3fb813a7a8a66588913fa1147712e3,1416038.1146076832,0.01
0x1e6035e1169ae43f1f6cf603444ef67ea5c06785,1412915.3308400002,0.01
0x5dcab5923de6b6c4b174cf14402680a2c11116b0,1409801.995270472,0.01
0xd4966cf2f829d21a082495f9b6f3a95cd86a1c8c,1364653,0.01
0x68ab9a3aa1460d15af9625fd5ee13d8a48e275b6,1332734.923,0.01
0xbc91c2019570fe95de1cde7f50c7c018059bba88,1363588.1719115248,0.01
0x650ab7317b125d0f6a6dc70437d13d570b87ebf9,1325705.671,0.01
0x0b5a962fec009c0c4d315f4ac8fa000ddef8c41d,1311727.243,0.01
0x5f61546c28ff3434a4981b8ba15ddc9e6e314c25,1309891,0.01
0x2892243b67fdeb90e4a7ef8f600f201672d99b5c,1300000,0.01
0x94c94b51b63895e2f2cf41ee102679b5fa7772cf,1264830.582,0.01
0xe723f2e91ad9f84595408a9f1688361e956722e2,1260000,0.01
0xa4f7e8b94b2b4ce143035df88eab7880db138778,1260000,0.01
0x1f2403f791fc5fd611b281fc568514fb13ff1f0a,1232194.56125,0.01
0xbdae7b15bf8fd2ec6eacf3fa908e9d8713da5dfb,1204000,0.01
